Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,Graduate,No,5849,0,146,360,1,Urban,Y
Male,Yes,Graduate,No,4583,1508,128,360,1,Rural,N
Male,Yes,Graduate,Yes,3000,0,66,360,1,Semiurban,Y
Male,No,Graduate,No,2583,2358,120,360,1,Urban,Y
Female,No,Graduate,No,6000,0,141,360,1,Urban,Y
Female,Yes,Graduate,No,5417,4196,267,360,1,Semiurban,Y
Male,Yes,Not Graduate,No,2333,1516,95,360,0,Rural,N
Male,Yes,Graduate,No,3036,2504,158,360,1,Semiurban,Y
Female,No,Graduate,No,4000,0,90,360,1,Urban,Y
Male,Yes,Graduate,Yes,12841,10968,349,360,1,Semiurban,Y
